filename,search_name,size,runtime,num_explored,num_solution
32_079,Breadth-First Search,32,4.6756,174,157
32_080,Breadth-First Search,32,11.5557,415,251
32_081,Breadth-First Search,32,12.3948,450,303
32_082,Breadth-First Search,32,8.0539,285,215
32_083,Breadth-First Search,32,12.0947,415,293
32_084,Breadth-First Search,32,7.3072,231,181
32_085,Breadth-First Search,32,4.9157,187,139
32_086,Breadth-First Search,32,6.9372,236,179
32_087,Breadth-First Search,32,13.2391,444,245
32_088,Breadth-First Search,32,5.7883,225,185
32_089,Breadth-First Search,32,5.3916,177,133
32_090,Breadth-First Search,32,13.6469,349,251
32_091,Breadth-First Search,32,18.2621,493,241
32_092,Breadth-First Search,32,10.0699,381,219
32_093,Breadth-First Search,32,9.2238,342,243
32_094,Breadth-First Search,32,4.3798,167,149
32_095,Breadth-First Search,32,12.3259,471,297
32_096,Breadth-First Search,32,1.4749,55,53
32_097,Breadth-First Search,32,4.1014,159,133
32_098,Breadth-First Search,32,8.0145,307,243
32_099,Breadth-First Search,32,5.3683,204,167
32_100,Breadth-First Search,32,8.3930,284,175
64_001,Breadth-First Search,64,46.9238,557,391
64_002,Breadth-First Search,64,169.5114,2014,1093
64_003,Breadth-First Search,64,113.2887,1291,643
64_004,Breadth-First Search,64,150.1239,1657,867
64_005,Breadth-First Search,64,148.4777,1751,873
64_006,Breadth-First Search,64,60.9834,699,547
64_007,Breadth-First Search,64,23.0697,279,245
64_008,Breadth-First Search,64,98.5010,1187,663
64_009,Breadth-First Search,64,97.8431,1196,619
64_010,Breadth-First Search,64,114.0862,1277,759
64_011,Breadth-First Search,64,148.0865,1639,971
64_012,Breadth-First Search,64,45.8369,567,455
64_013,Breadth-First Search,64,80.0635,969,605
64_014,Breadth-First Search,64,149.2943,1686,1025
64_015,Breadth-First Search,64,58.7102,683,369
64_016,Breadth-First Search,64,169.3449,1926,945
64_017,Breadth-First Search,64,92.1762,998,625
64_018,Breadth-First Search,64,54.5438,655,515
64_019,Breadth-First Search,64,33.5177,408,369
64_020,Breadth-First Search,64,164.9894,2015,1273
64_021,Breadth-First Search,64,79.7339,958,647
64_022,Breadth-First Search,64,87.5380,1060,671
64_023,Breadth-First Search,64,41.6626,463,421
64_024,Breadth-First Search,64,118.8784,1232,653
64_025,Breadth-First Search,64,97.8201,1051,669
64_026,Breadth-First Search,64,46.4112,581,427
64_027,Breadth-First Search,64,74.8806,887,669
64_028,Breadth-First Search,64,104.5020,1251,799
64_029,Breadth-First Search,64,78.9673,889,691
64_030,Breadth-First Search,64,136.1656,1485,901
64_031,Breadth-First Search,64,48.8889,533,439
64_032,Breadth-First Search,64,65.1867,740,343
64_033,Breadth-First Search,64,167.0638,1892,843
64_034,Breadth-First Search,64,74.0455,875,589
64_035,Breadth-First Search,64,101.2122,1168,717
64_036,Breadth-First Search,64,129.7599,1417,837
64_037,Breadth-First Search,64,107.5347,1175,585
64_038,Breadth-First Search,64,15.9826,197,155
64_039,Breadth-First Search,64,72.3433,885,447
64_040,Breadth-First Search,64,156.4966,1816,911
64_041,Breadth-First Search,64,87.0150,1001,657
64_042,Breadth-First Search,64,86.9830,902,521
64_043,Breadth-First Search,64,136.6962,1607,1007
64_044,Breadth-First Search,64,38.3721,464,389
64_045,Breadth-First Search,64,32.3479,416,367
64_046,Breadth-First Search,64,166.5354,2015,1103
64_047,Breadth-First Search,64,112.9165,1233,873
64_048,Breadth-First Search,64,66.6253,824,513
64_049,Breadth-First Search,64,44.3855,472,345
64_050,Breadth-First Search,64,27.9096,345,195
64_051,Breadth-First Search,64,158.2477,1868,1315
64_052,Breadth-First Search,64,161.6212,1927,1011
64_053,Breadth-First Search,64,154.0964,1772,1091
64_054,Breadth-First Search,64,87.4050,1012,607
64_055,Breadth-First Search,64,132.2423,1531,585
64_056,Breadth-First Search,64,26.1134,312,263
64_057,Breadth-First Search,64,51.7212,516,327
64_058,Breadth-First Search,64,161.1779,1784,965
64_059,Breadth-First Search,64,166.1455,1933,1179
64_060,Breadth-First Search,64,136.9740,1630,959
64_061,Breadth-First Search,64,126.3392,1404,779
64_062,Breadth-First Search,64,157.6598,1819,913
64_063,Breadth-First Search,64,120.9702,1425,859
64_064,Breadth-First Search,64,64.3795,757,597
64_065,Breadth-First Search,64,49.9806,623,433
64_066,Breadth-First Search,64,80.3288,999,485
64_067,Breadth-First Search,64,135.0300,1551,667
64_068,Breadth-First Search,64,114.5476,1371,893
64_069,Breadth-First Search,64,86.9600,993,601
64_070,Breadth-First Search,64,84.6899,1018,519
64_071,Breadth-First Search,64,130.3178,1584,915
64_072,Breadth-First Search,64,89.7444,1081,561
64_073,Breadth-First Search,64,49.8631,606,431
64_074,Breadth-First Search,64,55.7459,676,521
64_075,Breadth-First Search,64,27.3795,324,261
64_076,Breadth-First Search,64,70.4554,774,519
64_077,Breadth-First Search,64,59.8340,713,533
64_078,Breadth-First Search,64,151.3688,1730,745
64_079,Breadth-First Search,64,78.3502,953,577
64_080,Breadth-First Search,64,134.5450,1570,801
64_081,Breadth-First Search,64,81.1571,971,557
64_082,Breadth-First Search,64,89.4007,945,495
64_083,Breadth-First Search,64,130.3535,1562,743
64_084,Breadth-First Search,64,55.5495,642,453
64_085,Breadth-First Search,64,35.8112,411,281
64_086,Breadth-First Search,64,65.0922,737,329
64_087,Breadth-First Search,64,142.1030,1664,843
64_088,Breadth-First Search,64,22.4762,284,231
64_089,Breadth-First Search,64,50.0097,575,375
64_090,Breadth-First Search,64,36.7468,411,351
64_091,Breadth-First Search,64,64.5401,693,501
64_092,Breadth-First Search,64,84.1411,887,677
64_093,Breadth-First Search,64,57.4003,638,429
64_094,Breadth-First Search,64,148.1658,1695,649
64_095,Breadth-First Search,64,113.2974,1235,661
64_096,Breadth-First Search,64,180.2404,2039,955
64_097,Breadth-First Search,64,68.0670,767,499
64_098,Breadth-First Search,64,64.9803,788,445
64_099,Breadth-First Search,64,127.2144,1464,733
64_100,Breadth-First Search,64,105.3412,1170,601
04_001,Depth-First Search,4,0.1708,5,5
04_002,Depth-First Search,4,0.0251,5,5
04_003,Depth-First Search,4,0.0125,5,5
04_004,Depth-First Search,4,0.0120,5,5
04_005,Depth-First Search,4,0.0117,5,5
04_006,Depth-First Search,4,0.0155,5,5
04_007,Depth-First Search,4,0.0284,5,5
04_008,Depth-First Search,4,0.0216,5,5
